"JOIN_NO","EXT_KEY"
"191540","KEY"
"6102913","KEY"
"1528169","KEY"
"1528174","KEY"
"1528177","KEY"
"1528178","KEY"
"1528179","KEY"
"1528292","KEY"
"1527764","KEY"
"730355","KEY"
"1528353","KEY"
"6100741","KEY"
"6106986","KEY"
"6116351","SPEZ"
"1528676","KEY"
"1528750","KEY"
"1527887","KEY"
"1527913","KEY"
"1528007","KEY"
"6103722",""
"6108366","KEY"
"1367622","KEY"
"6100739","KEY"
"1527882","GKM"
"1528477","KEY"
"1528482","KEY"
"1528577","KEY"
"1528597","KEY"
"1528604","KEY"
"6103407","KEY"
"6101547","KEY"
"1528561","KEY"
"1528612","KEY"
"1528653","KEY"
"6104784","KEY"
"1528665","KEY"
"6109745","KEY"
"1528290",""
"1528600","KEY"
"1413420","KEY"
"1528547","KEY"
"1528001","KEY"
"1528003","KEY"
"1196369","KEY"
"1528132","KEY"
"531436","KEY"
"6111707","KEY"
"1526231","KEY"
"1527370","KEY"
"1527660","KEY"
"1527698","GROS"
"6094063","SPEZ"
"6100058","KEY"
"1528833","KEY"
"1528911","KEY"
"1399058","KEY"
"1528043","KEY"
"1528088","KEY"
"1528187","KEY"
"6117802","KEY"
"1284091","KEY"
"1528122","KEY"
"1528137","KEY"
"1528171","KEY"
"1528172","KEY"
"1528173","KEY"
"1528181","KEY"
"1528182","KEY"
"1528183","KEY"
"1528184","KEY"
"1528193","KEY"
"1528244","KEY"
"1528263","KEY"
"1528294","KEY"
"1528299","KEY"
"1528346","KEY"
"1527551","KEY"
"1527597","KEY"
"1527745","KEY"
"6099375","AUSL"
"1414794","KEY"
"105852","KEY"
"1151630","KEY"
"1223001","KEY"
"1243905","KEY"
"1254491","KEY"
"1262959","GROS"
"1275648","KEY"
"1276587","KEY"
"1285570","KEY"
"1291651","KEY"
"1348913","KEY"
"1363665","KEY"
"1369674","KEY"
"1370887","KEY"
"137351","GKM"
"1378961","KEY"
"1382887","KEY"
"1389768","GKM"
"1390249","KEY"
"1397771","KEY"
"1402023","KEY"
"1403041","KEY"
"1404201","KEY"
"1407332","KEY"
"1410075","KEY"
"1412302","KEY"
"1416031","KEY"
"1420267","KEY"
"1421851","KEY"
"1423167","KEY"
"1426731","SPEZ"
"1428740","KEY"
"1429488","KEY"
"1435897","KEY"
"1437216","KEY"
"1439621","KEY"
"1441663","KEY"
"1442161","KEY"
"1443869","KEY"
"1445481","KEY"
"1449108","KEY"
"1449812","KEY"
"1450066","KEY"
"1450307","KEY"
"1450738","KEY"
"1455978","KEY"
"100337","KEY"
"101631","KEY"
"101969","KEY"
"102537","KEY"
"102615","KEY"
"103144","KEY"
"103436","SPEZ"
"103447","SPEZ"
"103468","KEY"
"104236","KEY"
"104420","KEY"
"104448","KEY"
"105182","KEY"
"105354","SPEZ"
"105748","KEY"
"105811","SPEZ"
"105998","KEY"
"106461","KEY"
